,anime_id,title,image_url,genre
118,30347,Nanatsu no Taizai OVA,https://myanimelist.cdn-dena.com/images/anime/6/76269.jpg,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen"
119,14249,Ribbon no Kishi (1999),https://myanimelist.cdn-dena.com/images/anime/4/74720.jpg,Adventure
120,18893,Aoki Hagane no Arpeggio: Ars Nova,https://myanimelist.cdn-dena.com/images/anime/6/56143.jpg,"Action, Sci-Fi, Seinen"
121,35334,ClassicaLoid 2nd Season,https://myanimelist.cdn-dena.com/images/anime/2/88678.jpg,"Music, Comedy"
122,36755,Juvenile Pornography The Animation,https://myanimelist.cdn-dena.com/images/anime/6/88882.jpg,Hentai
123,3164,Ichigo Ichie: Koibana Tomobana,https://myanimelist.cdn-dena.com/images/anime/6/4864.jpg,"Slice of Life, Comedy, School"
124,2632,Doraemon: Time Machine de Oshougatsu,,"Sci-Fi, Adventure, Comedy, Kids, Shounen"
125,2199,Chirin no Suzu,https://myanimelist.cdn-dena.com/images/anime/11/80079.jpg,"Adventure, Drama, Fantasy"
126,1286,MD Geist II: Death Force,https://myanimelist.cdn-dena.com/images/anime/9/55867.jpg,"Mecha, Military, Sci-Fi"
127,34561,Re:Creators,https://myanimelist.cdn-dena.com/images/anime/11/85469.jpg,"Action, Sci-Fi, Fantasy"
128,515,Hajimari no Boukensha-tachi: Legend of Crystania,https://myanimelist.cdn-dena.com/images/anime/1416/92527.jpg,"Action, Adventure, Fantasy, Magic, Supernatural"
129,33907,Magical Music Train,https://myanimelist.cdn-dena.com/images/anime/5/81601.jpg,Music
130,238,Rekka no Honoo,https://myanimelist.cdn-dena.com/images/anime/6/22466.jpg,"Action, Adventure, Martial Arts, Shounen, Super Power"
131,5990,Cosmic Fantasy: Ginga Mehyou no Wana,https://myanimelist.cdn-dena.com/images/anime/11/83228.jpg,"Action, Sci-Fi, Space, Comedy, Romance, Fantasy"
132,27989,Hibike! Euphonium,https://myanimelist.cdn-dena.com/images/anime/6/72445.jpg,"Music, School, Drama"
133,36838,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.cdn-dena.com/images/anime/12/89603.jpg,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
134,1200,Gun-dou Musashi,https://myanimelist.cdn-dena.com/images/anime/3/28268.jpg,"Adventure, Samurai, Fantasy"
135,32644,Yaseruyagi,https://myanimelist.cdn-dena.com/images/anime/8/81478.jpg,
136,2769,Galactic Patrol Lensman,https://myanimelist.cdn-dena.com/images/anime/9/3743.jpg,"Action, Adventure, Sci-Fi"
137,24031,Denki-gai no Honya-san,https://myanimelist.cdn-dena.com/images/anime/2/65339.jpg,"Comedy, Seinen, Slice of Life"
138,37421,MaxValu Kyushu,https://myanimelist.cdn-dena.com/images/anime/1244/90866.jpg,Slice of Life
139,3975,Uchi no 3 Shimai,https://myanimelist.cdn-dena.com/images/anime/3/7166.jpg,"Comedy, Slice of Life"
140,29583,Kuroko no Basket: Oshaberi Demo Shimasen ka,https://myanimelist.cdn-dena.com/images/anime/11/71175.jpg,"Comedy, Sports, School, Shounen"
141,22839,Cross Road,https://myanimelist.cdn-dena.com/images/anime/12/59379.jpg,"Slice of Life, School"
142,10935,Hourou Musuko Specials,https://myanimelist.cdn-dena.com/images/anime/7/30177.jpg,"Drama, School"
143,37711,Koi to Uso OVA,https://myanimelist.cdn-dena.com/images/anime/1298/91812.jpg,"Drama, Romance, School"
144,9880,Esper Mami: Hoshizora no Dancing Doll,https://myanimelist.cdn-dena.com/images/anime/13/27327.jpg,"Fantasy, Shounen"
145,37435,Carol & Tuesday,https://myanimelist.cdn-dena.com/images/anime/1175/90916.jpg,"Drama, Music, Romance"
146,14007,"Akai Shouzou: Char, Soshite Frontal e",https://myanimelist.cdn-dena.com/images/anime/4/54423.jpg,"Drama, Mecha, Military, Sci-Fi, Shounen, Space"
147,17147,Gakkatsu! 2nd Season,https://myanimelist.cdn-dena.com/images/anime/13/46063.jpg,"Comedy, School"
148,28023,Tsuru no Sugomori,,Kids
149,22273,Selector Infected WIXOSS,https://myanimelist.cdn-dena.com/images/anime/13/70147.jpg,"Game, Psychological"
150,33885,Hane (2016),https://myanimelist.cdn-dena.com/images/anime/9/81556.jpg,Music
151,11769,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,https://myanimelist.cdn-dena.com/images/anime/11/35659.jpg,"Comedy, Ecchi, School, Seinen, Shoujo Ai"
152,3232,Bannou Bunka Neko-Musume Specials,https://myanimelist.cdn-dena.com/images/anime/7/5124.jpg,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen"
153,10250,Ultra B,https://myanimelist.cdn-dena.com/images/anime/2/28227.jpg,"Comedy, Super Power"
154,15771,Saint☆Oniisan (Movie),https://myanimelist.cdn-dena.com/images/anime/7/48723.jpg,"Comedy, Seinen, Slice of Life"
